Date,Open,High,Low,Close,sqrt(close),change,unemployment,,
6/3/96,"5,624.71","5,662.75","5,587.40","5,624.71",74.99806664,0.015030491,5.3,,
5/31/96,"5,643.18","5,712.62","5,614.36","5,643.18",75.12110223,,,,
5/30/96,"5,693.41","5,734.41","5,625.07","5,693.41",75.45468839,,,,
5/29/96,"5,673.83","5,743.65","5,632.46","5,673.83",75.3248299,,,,
5/28/96,"5,709.67","5,798.69","5,680.48","5,709.67",75.56235835,,,,
5/24/96,"5,762.86","5,815.68","5,722.59","5,762.86",75.91350341,,,,
5/23/96,"5,762.12","5,833.04","5,704.12","5,762.12",75.90862929,,,,
5/22/96,"5,778.00","5,803.49","5,687.87","5,778.00",76.01315676,,,,
5/21/96,"5,736.26","5,794.63","5,698.21","5,736.26",75.73810138,,,,
5/20/96,"5,748.82","5,778.74","5,657.58","5,748.82",75.82097335,,,,
5/17/96,"5,687.50","5,729.61","5,631.35","5,687.50",75.41551564,,,,
5/16/96,"5,635.05","5,677.53","5,577.42","5,635.05",75.0669701,,,,
5/15/96,"5,625.44","5,691.57","5,590.72","5,625.44",75.00293328,,,,
5/14/96,"5,624.71","5,663.12","5,566.71","5,624.71",74.99806664,,,,
5/13/96,"5,582.60","5,601.80","5,495.42","5,582.60",74.71679865,,,,
5/10/96,"5,518.14","5,559.68","5,478.03","5,518.14",74.28418405,,,,
5/9/96,"5,475.14","5,534.76","5,419.87","5,475.14",73.99418896,,,,
5/8/96,"5,474.06","5,486.34","5,327.74","5,474.06",73.98689073,,,,
5/7/96,"5,420.95","5,486.34","5,392.05","5,420.95",73.62710099,,,,
5/6/96,"5,464.31","5,528.97","5,397.83","5,464.31",73.92097131,,,,
5/3/96,"5,478.03","5,555.71","5,439.74","5,478.03",74.01371495,,,,
5/2/96,"5,498.27","5,578.11","5,455.27","5,498.27",74.1503203,,,,
5/1/96,"5,575.22","5,619.29","5,523.56","5,575.22",74.66739583,-0.019874109,5.6,,
4/30/96,"5,569.08","5,606.29","5,522.83","5,569.08",74.62626883,,,,
4/29/96,"5,573.41","5,611.71","5,515.25","5,573.41",74.65527443,,,,
4/26/96,"5,567.99","5,618.57","5,517.78","5,567.99",74.61896542,,,,
4/25/96,"5,566.91","5,601.23","5,490.68","5,566.91",74.6117283,,,,
4/24/96,"5,553.90","5,619.29","5,512.36","5,553.90",74.52449262,,,,
4/23/96,"5,588.59","5,621.82","5,534.76","5,588.59",74.75687259,,,,
4/22/96,"5,564.74","5,610.62","5,516.33","5,564.74",74.59718493,,,,
4/19/96,"5,535.48","5,593.64","5,504.41","5,535.48",74.40080645,,,,
4/18/96,"5,551.74","5,600.51","5,493.93","5,551.74",74.50999933,,,,
4/17/96,"5,549.93","5,653.25","5,500.07","5,549.93",74.49785232,,,,
4/16/96,"5,620.02","5,656.14","5,554.99","5,620.02",74.96679265,,,,
4/15/96,"5,592.92","5,614.60","5,517.41","5,592.92",74.78582753,,,,
4/12/96,"5,532.59","5,577.39","5,445.16","5,532.59",74.38138208,,,,
4/11/96,"5,487.07","5,540.17","5,382.66","5,487.07",74.07475953,,,,
4/10/96,"5,485.98","5,601.23","5,452.02","5,485.98",74.06740174,,,,
4/9/96,"5,560.41","5,644.58","5,530.06","5,560.41",74.56815674,,,,
4/8/96,"5,594.37","5,624.71","5,518.14","5,594.37",74.79552126,,,,
4/4/96,"5,682.88","5,737.07","5,633.02","5,682.88",75.38487912,,,,
4/3/96,"5,689.74","5,712.50","5,619.29","5,689.74",75.43036524,,,,
4/2/96,"5,671.68","5,706.72","5,597.26","5,671.68",75.31055703,,,,
4/1/96,"5,637.72","5,670.23","5,562.57","5,637.72",75.08475211,0.03222324,5.6,,
3/29/96,"5,587.14","5,682.88","5,550.29","5,587.14",74.74717386,,,,
3/28/96,"5,630.85","5,664.45","5,564.74","5,630.85",75.03898987,,,,
3/27/96,"5,626.88","5,703.47","5,596.53","5,626.88",75.01253229,,,,
3/26/96,"5,670.60","5,701.30","5,595.81","5,670.60",75.30338638,,,,
3/25/96,"5,643.86","5,712.14","5,592.92","5,643.86",75.12562812,,,,
3/22/96,"5,636.64","5,681.07","5,589.67","5,636.64",75.0775599,,,,
3/21/96,"5,626.88","5,696.25","5,590.03","5,626.88",75.01253229,,,,
3/20/96,"5,655.42","5,724.06","5,590.39","5,655.42",75.20252655,,,,
3/19/96,"5,669.51","5,755.86","5,619.66","5,669.51",75.29614864,,,,
3/18/96,"5,683.60","5,706.00","5,573.41","5,683.60",75.38965446,,,,
3/15/96,"5,584.97","5,628.69","5,523.56","5,584.97",74.73265685,,,,
3/14/96,"5,586.06","5,662.29","5,536.56","5,586.06",74.73994916,,,,
3/13/96,"5,568.72","5,626.52","5,513.80","5,568.72",74.62385678,,,,
3/12/96,"5,583.89","5,622.55","5,464.67","5,583.89",74.72543074,,,,
3/11/96,"5,581.00","5,605.20","5,425.29","5,581.00",74.70609078,,,,
3/8/96,"5,470.45","5,612.79","5,395.30","5,470.45",73.96249049,,,,
3/7/96,"5,641.69","5,667.34","5,572.33","5,641.69",75.11118425,,,,
3/6/96,"5,629.77","5,700.22","5,585.70","5,629.77",75.03179326,,,,
3/5/96,"5,642.42","5,655.78","5,558.24","5,642.42",75.11604356,,,,
3/4/96,"5,600.15","5,646.39","5,511.99","5,600.15",74.83414996,,,,
3/1/96,"5,536.56","5,573.41","5,424.20","5,536.56",74.40806408,0.044447546,5.5,,
2/29/96,"5,485.62","5,562.21","5,440.46","5,485.62",74.06497148,,,,
2/28/96,"5,506.21","5,625.07","5,487.07","5,506.21",74.20384087,,,,
2/27/96,"5,549.21","5,597.26","5,478.76","5,549.21",74.49301981,,,,
2/26/96,"5,565.10","5,647.83","5,530.42","5,565.10",74.59959785,,,,
2/23/96,"5,630.49","5,693.36","5,546.32","5,630.49",75.03659107,,,,
2/22/96,"5,608.46","5,638.44","5,511.63","5,608.46",74.88965216,,,,
2/21/96,"5,515.97","5,548.12","5,440.82","5,515.97",74.26957654,,,,
2/20/96,"5,458.53","5,515.97","5,393.50","5,458.53",73.88186516,,,,
2/16/96,"5,503.32","5,563.30","5,470.45","5,503.32",74.18436493,,,,
2/15/96,"5,551.37","5,623.27","5,514.88","5,551.37",74.5075164,,,,
2/14/96,"5,579.55","5,633.02","5,534.39","5,579.55",74.69638545,,,,
2/13/96,"5,601.23","5,644.94","5,530.06","5,601.23",74.84136557,,,,
2/12/96,"5,600.15","5,643.50","5,531.14","5,600.15",74.83414996,,,,
2/9/96,"5,541.62","5,603.76","5,474.06","5,541.62",74.442058,,,,
